project_name,station,일시,longitude,latitude,bot.depth[m],수심(m),dep_flag,총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L],year,month,quarter,year_quarter
해양환경측정망,가로림연안1_연안,2017-02-07 16:34:00,126.3269444,36.94638889,0,0.0,0,280.5,32.18,4.52,0.55,18.4,10.67,8.15,,1.7,,,1.1,159.1,1.59,2.1,31.5,2017,2,1,20171
해양환경측정망,가로림연안1_연안,2017-02-07 16:34:00,126.3269444,36.94638889,0,17.0,0,301.7,32.18,4.5,0.56,39.4,10.63,8.2,,1.7,,,,162.6,1.87,1.8,32.1,2017,2,1,20171
해양환경측정망,가로림연안1_연안,2017-05-18 09:05:00,126.3269444,36.94638889,0,0.0,0,246.5,32.05,11.43,3.67,15.0,9.87,8.08,64.8,4.0,,,1.6,130.5,0.95,0.2,25.2,2017,5,2,20172
해양환경측정망,가로림연안1_연안,2017-05-18 09:05:00,126.3269444,36.94638889,0,23.0,0,246.5,32.05,11.32,4.32,19.9,9.84,8.09,61.0,3.2,,,,130.4,1.26,0.3,29.1,2017,5,2,20172
해양환경측정망,가로림연안1_연안,2017-08-12 00:00:00,126.3269444,36.94638889,0,0.0,0,144.8,31.66,23.92,2.18,14.8,7.6,8.03,,12.9,,46.2,1.6,60.5,1.91,1.4,19.7,2017,8,3,20173
해양환경측정망,가로림연안1_연안,2017-08-12 00:00:00,126.3269444,36.94638889,0,17.0,0,190.9,31.67,23.8,2.12,18.1,7.63,8.04,,12.8,,48.1,,62.1,1.97,1.3,26.5,2017,8,3,20173
해양환경측정망,가로림연안1_연안,2017-11-20 09:00:00,126.3269444,36.94638889,0,0.0,0,265.0,32.05,10.98,0.84,34.1,9.22,8.16,,7.5,,99.6,1.0,113.9,1.36,6.8,37.9,2017,11,4,20174
해양환경측정망,가로림연안1_연안,2017-11-20 09:00:00,126.3269444,36.94638889,0,16.0,0,253.0,32.05,11.0,0.94,29.4,9.16,8.17,,8.7,,89.6,,108.0,2.04,9.6,37.4,2017,11,4,20174
해양환경측정망,가로림연안2_연안,2017-02-05 10:20:00,126.3133333,36.99,0,0.0,0,264.9,32.15,5.56,0.5,35.3,10.06,8.17,,1.2,,,0.9,252.0,1.64,1.0,34.3,2017,2,1,20171
해양환경측정망,가로림연안2_연안,2017-02-05 10:20:00,126.3133333,36.99,0,25.0,0,328.2,32.15,5.53,0.6,34.2,10.16,8.18,,1.5,,,,152.6,0.87,14.3,40.3,2017,2,1,20171
해양환경측정망,가로림연안2_연안,2017-05-18 08:36:00,126.3133333,36.99,0,0.0,0,314.6,32.04,10.97,4.08,22.6,9.95,8.06,68.3,5.1,,,1.7,146.4,1.13,0.3,32.8,2017,5,2,20172
해양환경측정망,가로림연안2_연안,2017-05-18 08:36:00,126.3133333,36.99,0,26.0,0,184.6,32.04,10.97,4.36,27.5,9.89,8.07,66.8,3.4,,,,151.2,1.48,0.2,21.0,2017,5,2,20172
해양환경측정망,가로림연안2_연안,2017-08-12 00:00:00,126.3133333,36.99,0,0.0,0,158.1,31.73,22.78,1.99,15.6,7.92,8.04,,15.8,,53.7,2.8,70.3,1.68,0.8,19.8,2017,8,3,20173
해양환경측정망,가로림연안2_연안,2017-08-12 00:00:00,126.3133333,36.99,0,28.0,0,177.2,31.73,22.78,2.2,19.4,7.83,8.05,,14.8,,57.7,,73.2,2.07,0.7,20.5,2017,8,3,20173
해양환경측정망,가로림연안2_연안,2017-11-20 09:27:00,126.3133333,36.99,0,0.0,0,192.9,32.01,12.33,1.18,27.1,8.94,8.14,,6.7,,106.4,1.1,117.5,1.15,4.4,29.9,2017,11,4,20174
해양환경측정망,가로림연안2_연안,2017-11-20 09:27:00,126.3133333,36.99,0,13.0,0,220.2,32.01,12.28,1.27,28.8,8.97,8.16,,7.8,,95.4,,107.8,2.01,4.5,27.8,2017,11,4,20174
해양환경측정망,가로림연안3_연안,2017-02-05 08:04:00,126.2,36.94166667,0,0.0,0,333.8,32.12,5.24,0.53,34.4,9.66,8.12,,0.9,,,0.9,265.5,1.61,1.1,46.5,2017,2,1,20171
해양환경측정망,가로림연안3_연안,2017-02-05 08:04:00,126.2,36.94166667,0,27.5,0,274.5,32.12,5.24,0.42,42.9,10.1,8.12,,1.3,,115.3,,118.8,1.24,2.2,30.3,2017,2,1,20171
해양환경측정망,가로림연안3_연안,2017-05-17 16:21:00,126.2,36.94166667,0,0.0,0,196.3,32.03,10.94,2.73,10.0,10.11,8.1,60.4,4.0,,,3.2,131.7,1.24,0.3,27.5,2017,5,2,20172
해양환경측정망,가로림연안3_연안,2017-05-17 16:21:00,126.2,36.94166667,0,24.0,0,328.4,32.03,10.71,3.44,15.6,10.02,8.11,57.9,3.7,,,,135.5,1.38,0.3,29.1,2017,5,2,20172
